,reward_0.99,steps_0.99,end_0.99,reward_0.995,steps_0.995,end_0.995,reward_0.999,steps_0.999,end_0.999,reward_0.9999,steps_0.9999,end_0.9999
0,-156.5,114,2.0,-112.0,25,1.0,-111.0,23,2.0,-142.0,85,2.0
1,-123.0,47,2.0,-109.5,20,1.0,-118.5,38,2.0,-107.0,15,1.0
2,-165.5,132,1.0,-121.5,44,2.0,-104.5,10,2.0,-146.0,93,2.0
3,-149.0,99,1.0,-115.5,32,1.0,-111.0,23,1.0,-101.5,4,2.0
4,-132.5,66,1.0,-268.5,338,1.0,-173.0,147,1.0,-119.0,39,2.0
5,-102.5,6,1.0,-127.5,56,2.0,-195.0,191,2.0,4974.5,52,0.0
6,-100.0,1,2.0,-100.0,1,1.0,-132.5,66,1.0,-152.0,105,2.0
7,-150.5,102,2.0,-124.0,49,2.0,-146.0,93,1.0,-151.5,104,1.0
8,-113.0,27,2.0,-125.5,52,1.0,-132.0,65,2.0,-115.5,32,2.0
9,-148.0,97,2.0,-107.0,15,1.0,-135.0,71,2.0,-137.0,75,2.0
10,-178.5,158,2.0,-109.0,19,1.0,4942.0,117,0.0,-116.0,33,2.0
11,-104.5,10,2.0,-107.0,15,2.0,-143.5,88,1.0,-102.0,5,2.0
12,-101.0,3,2.0,-122.5,46,2.0,-170.0,141,2.0,-339.0,479,2.0
13,-101.5,4,1.0,-132.5,66,2.0,-115.0,31,2.0,-122.0,45,2.0
14,-116.5,34,1.0,-130.5,62,2.0,-141.0,83,2.0,-149.5,100,1.0
15,-130.0,61,1.0,-160.5,122,1.0,-103.0,7,1.0,-115.0,31,2.0
16,-113.0,27,2.0,-192.5,186,1.0,-317.0,435,2.0,-106.5,14,1.0
17,-195.0,191,1.0,-120.0,41,1.0,-105.5,12,2.0,-109.0,19,1.0
18,-157.0,115,1.0,-159.0,119,1.0,-255.5,312,1.0,-123.0,47,2.0
19,-139.0,79,2.0,4928.0,145,0.0,-229.5,260,2.0,-112.5,26,2.0
20,-105.0,11,1.0,-111.5,24,1.0,-249.0,299,2.0,-201.0,203,1.0
21,-102.5,6,1.0,-112.0,25,2.0,-150.5,102,2.0,-102.5,6,1.0
22,-102.0,5,2.0,-102.5,6,2.0,-124.0,49,1.0,-120.5,42,1.0
23,-111.5,24,2.0,-139.0,79,2.0,-173.5,148,2.0,4935.5,130,0.0
24,-222.5,246,1.0,-119.5,40,1.0,-122.0,45,1.0,-102.5,6,2.0
25,-144.0,89,2.0,-110.0,21,2.0,-133.0,67,1.0,-103.0,7,1.0
26,-116.0,33,1.0,-105.5,12,1.0,-454.5,710,1.0,-230.0,261,1.0
27,-163.5,128,1.0,4998.5,4,0.0,-129.0,59,1.0,-102.5,6,1.0
28,-122.5,46,2.0,-102.0,5,2.0,4999.5,2,0.0,-402.5,606,1.0
29,-125.0,51,2.0,-102.5,6,1.0,-258.0,317,1.0,-357.5,516,2.0
30,-102.0,5,1.0,-499.5,800,1.0,-187.0,175,2.0,-148.0,97,2.0
31,-130.0,61,1.0,-177.0,155,2.0,-104.5,10,2.0,-145.5,92,2.0
32,-135.5,72,2.0,-191.0,183,2.0,-129.0,59,2.0,4883.5,234,0.0
33,-192.0,185,1.0,-208.5,218,1.0,4958.0,85,0.0,4983.0,35,0.0
34,-166.5,134,1.0,-111.5,24,2.0,-161.5,124,2.0,-129.5,60,2.0
35,-104.0,9,2.0,-194.5,190,2.0,-192.5,186,2.0,-100.0,1,2.0
36,-100.0,1,2.0,-189.5,180,1.0,4999.5,2,0.0,-100.5,2,2.0
37,-119.0,39,1.0,-100.5,2,2.0,-104.0,9,1.0,-103.0,7,2.0
38,-105.0,11,2.0,-102.5,6,1.0,-108.0,17,1.0,-114.0,29,2.0
39,-143.0,87,1.0,-246.5,294,1.0,-134.5,70,2.0,-103.5,8,2.0
40,-114.0,29,1.0,-187.0,175,1.0,-212.0,225,2.0,-155.0,111,2.0
41,4967.0,67,0.0,-186.0,173,2.0,-437.0,675,1.0,-357.0,515,1.0
42,-372.0,545,1.0,-101.5,4,2.0,-100.5,2,1.0,-151.5,104,1.0
43,-276.0,353,2.0,-137.5,76,2.0,4894.0,213,0.0,-151.5,104,1.0
44,-205.5,212,1.0,-169.5,140,2.0,-120.5,42,2.0,-108.0,17,1.0
45,4997.5,6,0.0,-148.5,98,2.0,-405.5,612,1.0,-121.0,43,1.0
46,-109.5,20,2.0,-105.5,12,1.0,-126.0,53,2.0,-102.5,6,1.0
47,-112.5,26,2.0,4924.0,153,0.0,-124.0,49,2.0,-132.5,66,2.0
48,-106.5,14,2.0,-111.0,23,1.0,-100.5,2,2.0,-108.0,17,1.0
49,-116.0,33,1.0,-152.5,106,2.0,-186.0,173,2.0,-218.0,237,2.0
50,-280.5,362,2.0,-124.5,50,2.0,-114.5,30,2.0,-114.5,30,2.0
51,-103.0,7,1.0,-244.5,290,1.0,4988.5,24,0.0,-116.5,34,2.0
52,-181.5,164,1.0,-247.0,295,1.0,-114.5,30,2.0,-103.0,7,2.0
53,4974.5,52,0.0,4943.0,115,0.0,-418.0,637,2.0,-114.0,29,2.0
54,-402.5,606,2.0,-130.5,62,1.0,-188.5,178,2.0,-161.5,124,2.0
