,reward_0.2,steps_0.2,end_0.2,reward_0.4,steps_0.4,end_0.4,reward_0.6,steps_0.6,end_0.6,reward_0.8,steps_0.8,end_0.8
0,-103.5,8,2.0,-109.5,20,1.0,-106.5,14,2.0,-104.0,9,2.0
1,-129.0,59,1.0,5000.0,1,0.0,-107.5,16,2.0,-104.5,10,1.0
2,-133.5,68,1.0,-120.0,41,2.0,-101.0,3,1.0,-273.0,347,1.0
3,-100.5,2,2.0,-157.0,115,2.0,-108.0,17,2.0,-109.0,19,2.0
4,-155.5,112,2.0,-127.0,55,1.0,-105.5,12,1.0,-102.0,5,1.0
5,-111.0,23,1.0,-211.5,224,2.0,-131.5,64,2.0,-100.0,1,2.0
6,4993.0,15,0.0,-200.0,201,1.0,-164.5,130,2.0,-136.0,73,2.0
7,-443.0,687,2.0,-227.5,256,1.0,-123.5,48,2.0,-208.5,218,1.0
8,-139.0,79,2.0,-251.0,303,2.0,-103.5,8,2.0,-102.0,5,1.0
9,-342.0,485,2.0,-251.5,304,2.0,-100.0,1,1.0,-125.0,51,2.0
10,-208.0,217,1.0,-113.5,28,1.0,-103.0,7,1.0,-164.5,130,2.0
11,-107.5,16,1.0,-152.5,106,2.0,4962.5,76,0.0,-199.0,199,2.0
12,-153.5,108,1.0,-106.0,13,1.0,-121.0,43,2.0,-126.0,53,2.0
13,-126.5,54,2.0,4999.0,3,0.0,-115.5,32,1.0,-103.0,7,2.0
14,-143.5,88,2.0,-100.5,2,1.0,-106.0,13,2.0,-119.5,40,2.0
15,-110.5,22,1.0,4993.5,14,0.0,-127.5,56,2.0,4997.5,6,0.0
16,-143.0,87,2.0,-104.5,10,2.0,-109.0,19,1.0,-104.0,9,1.0
17,-106.5,14,1.0,-101.5,4,2.0,-123.0,47,2.0,-286.5,374,1.0
18,-140.0,81,1.0,-102.5,6,1.0,-125.5,52,1.0,-107.5,16,1.0
19,-234.5,270,2.0,-142.5,86,1.0,-123.0,47,1.0,-107.0,15,1.0
20,-100.5,2,1.0,-107.5,16,1.0,-118.0,37,1.0,-125.5,52,1.0
21,-108.0,17,1.0,-111.0,23,1.0,-277.0,355,1.0,-112.0,25,2.0
22,-101.0,3,1.0,-107.5,16,2.0,-133.5,68,1.0,-103.0,7,1.0
23,-202.0,205,1.0,-121.5,44,1.0,-102.0,5,1.0,-119.5,40,2.0
24,-202.5,206,2.0,-272.0,345,2.0,-102.0,5,1.0,-101.5,4,2.0
25,-100.5,2,1.0,-146.5,94,1.0,-101.0,3,1.0,-301.5,404,2.0
26,-115.5,32,1.0,-125.0,51,2.0,-103.5,8,1.0,-141.0,83,1.0
27,-107.5,16,2.0,-109.0,19,2.0,-136.0,73,2.0,-287.5,376,1.0
28,-219.5,240,2.0,-134.0,69,2.0,-227.0,255,1.0,-274.5,350,1.0
29,-253.5,308,1.0,-171.5,144,1.0,-123.0,47,2.0,-112.5,26,1.0
30,-133.0,67,1.0,-165.5,132,1.0,-251.0,303,2.0,-167.0,135,2.0
31,-106.5,14,1.0,-177.5,156,2.0,-111.5,24,2.0,-101.0,3,1.0
32,-126.5,54,2.0,-113.5,28,2.0,-112.0,25,1.0,-118.0,37,2.0
33,-107.5,16,1.0,-121.5,44,2.0,-175.0,151,2.0,-173.0,147,1.0
34,-164.5,130,2.0,-159.5,120,2.0,5000.0,1,0.0,-177.0,155,2.0
35,-156.5,114,1.0,-222.5,246,1.0,-102.5,6,1.0,-200.0,201,2.0
36,-128.5,58,1.0,-123.5,48,2.0,-114.0,29,2.0,-113.0,27,2.0
37,-112.5,26,2.0,-104.0,9,1.0,-101.5,4,1.0,-105.0,11,1.0
38,-101.0,3,2.0,-378.5,558,1.0,-132.0,65,2.0,-186.5,174,1.0
39,-201.5,204,2.0,-146.0,93,2.0,-143.0,87,2.0,-119.5,40,1.0
40,-123.0,47,2.0,-108.5,18,1.0,-100.0,1,1.0,-106.0,13,1.0
41,-104.0,9,1.0,-104.0,9,2.0,-109.0,19,1.0,-139.0,79,2.0
42,-101.5,4,2.0,-199.0,199,2.0,-312.0,425,1.0,-129.5,60,2.0
43,-110.0,21,1.0,-159.0,119,2.0,-100.5,2,2.0,-223.0,247,1.0
44,-100.5,2,1.0,-103.5,8,2.0,-132.5,66,1.0,-125.0,51,1.0
45,-101.5,4,1.0,-120.0,41,2.0,-133.0,67,2.0,4999.0,3,0.0
46,-152.5,106,2.0,-110.0,21,1.0,-106.5,14,2.0,-110.5,22,2.0
47,-124.5,50,1.0,-113.0,27,2.0,-115.0,31,1.0,-107.5,16,1.0
48,-115.0,31,1.0,-109.0,19,1.0,-130.5,62,1.0,-121.5,44,2.0
49,-245.0,291,1.0,-129.5,60,2.0,4896.0,209,0.0,-106.5,14,1.0
50,-101.0,3,2.0,-137.0,75,2.0,-101.0,3,1.0,4981.5,38,0.0
51,-175.5,152,1.0,-101.5,4,1.0,-104.5,10,2.0,-160.0,121,1.0
52,-101.5,4,1.0,-116.0,33,1.0,-126.5,54,2.0,4967.0,67,0.0
53,4957.5,86,0.0,-103.5,8,1.0,-121.5,44,2.0,-114.5,30,1.0
54,4910.0,181,0.0,-102.5,6,1.0,-105.0,11,1.0,-542.5,886,1.0
55,-238.5,278,1.0,-118.5,38,1.0,-101.5,4,2.0,-147.5,96,2.0
56,-103.0,7,1.0,-135.0,71,2.0,-142.0,85,1.0,-124.0,49,2.0
57,-116.5,34,1.0,-118.0,37,1.0,-123.5,48,2.0,-109.5,20,2.0
58,-125.5,52,1.0,-101.5,4,1.0,-127.0,55,1.0,-184.5,170,1.0
59,-148.5,98,1.0,4999.0,3,0.0,-126.5,54,2.0,-314.0,429,1.0
60,-118.0,37,1.0,-225.5,252,1.0,-256.0,313,2.0,-102.0,5,1.0
61,-104.0,9,1.0,-119.5,40,2.0,-107.0,15,2.0,-102.5,6,2.0
62,-183.0,167,2.0,-270.5,342,2.0,-104.5,10,1.0,-141.5,84,2.0
63,-162.5,126,2.0,-105.0,11,1.0,-107.0,15,2.0,-100.0,1,2.0
64,-345.5,492,2.0,-125.0,51,2.0,-100.5,2,1.0,-102.5,6,2.0
65,-116.5,34,2.0,-171.0,143,1.0,-227.0,255,1.0,-261.0,323,1.0
66,-104.5,10,1.0,-276.5,354,1.0,-115.0,31,2.0,-142.0,85,2.0
67,-164.0,129,2.0,-141.0,83,2.0,-127.0,55,1.0,-100.0,1,1.0
68,-485.5,772,1.0,4978.5,44,0.0,-344.5,490,2.0,-142.0,85,2.0
69,4999.5,2,0.0,-111.0,23,1.0,4971.0,59,0.0,-102.0,5,1.0
70,4946.5,108,0.0,-168.0,137,2.0,-205.5,212,2.0,-116.0,33,1.0
71,-101.0,3,1.0,-146.0,93,2.0,-145.0,91,1.0,-214.0,229,2.0
72,-364.0,529,2.0,-153.0,107,2.0,4998.5,4,0.0,-119.0,39,1.0
73,-120.0,41,2.0,5000.0,1,0.0,-170.5,142,1.0,-228.5,258,1.0
74,-103.0,7,2.0,-109.0,19,1.0,-103.0,7,1.0,-131.0,63,2.0
75,-105.0,11,2.0,5000.0,1,0.0,-100.5,2,1.0,-116.0,33,2.0
76,-113.5,28,1.0,4859.5,282,0.0,-112.0,25,2.0,-105.5,12,1.0
77,-314.0,429,2.0,-106.0,13,2.0,-125.0,51,2.0,-169.0,139,2.0
78,-274.5,350,1.0,-127.0,55,2.0,-136.0,73,1.0,-149.0,99,2.0
79,-264.0,329,1.0,-111.0,23,1.0,-111.5,24,1.0,-140.5,82,1.0
80,-164.0,129,1.0,-164.5,130,1.0,-211.0,223,2.0,-196.0,193,1.0
81,-100.0,1,1.0,-121.0,43,2.0,-221.5,244,2.0,-235.5,272,2.0
82,-173.5,148,1.0,-116.5,34,1.0,-123.5,48,2.0,-293.5,388,1.0
83,4952.0,97,0.0,-125.5,52,2.0,-103.0,7,1.0,-153.5,108,2.0
84,-106.0,13,1.0,-108.0,17,2.0,-103.5,8,2.0,-154.0,109,2.0
85,-185.5,172,2.0,-111.5,24,1.0,-125.0,51,2.0,-102.0,5,2.0
86,-341.0,483,1.0,-435.5,672,2.0,-141.5,84,2.0,4997.5,6,0.0
87,-107.0,15,1.0,-103.5,8,1.0,-134.0,69,1.0,-301.0,403,2.0
88,-209.5,220,2.0,-110.0,21,2.0,-116.0,33,1.0,-202.5,206,2.0
