,reward_0.4,steps_0.4,end_0.4,reward_0.7,steps_0.7,end_0.7,reward_0.9,steps_0.9,end_0.9,reward_0.999,steps_0.999,end_0.999
0,-100.5,2,1.0,-211.0,223,2.0,-158.5,118,2.0,-147.5,96,2.0
1,-127.0,55,2.0,-128.0,57,1.0,-100.5,2,1.0,-114.0,29,2.0
2,-120.0,41,2.0,-150.0,101,2.0,-164.5,130,2.0,-149.5,100,1.0
3,-109.0,19,1.0,4984.0,33,0.0,-147.0,95,1.0,-104.5,10,2.0
4,4993.5,14,0.0,-165.0,131,1.0,-184.5,170,1.0,4986.5,28,0.0
5,-107.5,16,2.0,-133.5,68,1.0,-139.0,79,1.0,-178.0,157,1.0
6,-106.0,13,2.0,-228.0,257,2.0,-100.0,1,2.0,-102.5,6,1.0
7,-100.5,2,2.0,-105.0,11,2.0,-100.0,1,1.0,-119.5,40,1.0
8,-106.5,14,2.0,-111.5,24,1.0,-103.0,7,2.0,-111.0,23,1.0
9,-110.0,21,2.0,-107.5,16,2.0,-102.0,5,1.0,-154.0,109,2.0
10,-116.0,33,2.0,-103.0,7,1.0,-117.0,35,1.0,-136.0,73,2.0
11,-581.0,963,1.0,-104.5,10,1.0,-114.0,29,2.0,-262.5,326,1.0
12,-104.5,10,2.0,-102.5,6,2.0,-123.0,47,2.0,-100.0,1,1.0
13,-121.5,44,2.0,-102.5,6,1.0,-168.5,138,2.0,-123.0,47,2.0
14,-164.5,130,2.0,-112.0,25,1.0,-127.0,55,2.0,-103.5,8,1.0
15,-114.5,30,1.0,-108.5,18,2.0,-212.5,226,1.0,-121.0,43,1.0
16,-168.0,137,2.0,-156.5,114,2.0,-123.0,47,2.0,-125.5,52,2.0
17,-111.5,24,2.0,-132.5,66,1.0,-100.5,2,2.0,-260.0,321,1.0
18,-104.5,10,1.0,-277.5,356,2.0,4998.5,4,0.0,-136.0,73,2.0
19,-123.5,48,1.0,-189.5,180,1.0,-120.5,42,2.0,-173.0,147,2.0
20,-101.0,3,1.0,-101.5,4,1.0,-111.5,24,1.0,-449.5,700,1.0
21,-121.0,43,1.0,-217.0,235,1.0,4970.0,61,0.0,4983.0,35,0.0
22,-100.0,1,2.0,-100.5,2,2.0,-111.0,23,2.0,-152.0,105,2.0
23,-212.5,226,1.0,-194.0,189,1.0,-101.0,3,1.0,-153.5,108,2.0
24,-191.0,183,2.0,-121.5,44,2.0,-107.0,15,2.0,-209.5,220,1.0
25,-317.0,435,2.0,-172.0,145,1.0,-109.5,20,1.0,-100.5,2,1.0
26,-102.5,6,1.0,-130.5,62,2.0,-318.5,438,2.0,-156.5,114,2.0
27,-101.5,4,2.0,-101.0,3,2.0,-101.5,4,2.0,-126.0,53,1.0
28,-103.5,8,2.0,-101.5,4,2.0,-128.0,57,2.0,-113.0,27,1.0
29,-102.0,5,1.0,-184.5,170,1.0,-100.0,1,2.0,-123.5,48,2.0
30,-101.5,4,2.0,-115.0,31,1.0,-110.5,22,2.0,-132.0,65,2.0
31,-140.0,81,1.0,-108.5,18,2.0,-110.0,21,2.0,-107.5,16,2.0
32,-105.0,11,2.0,-107.5,16,1.0,4995.5,10,0.0,-109.5,20,1.0
33,-155.5,112,2.0,-116.0,33,1.0,-109.0,19,2.0,-192.0,185,2.0
34,-100.5,2,1.0,-100.0,1,2.0,-135.5,72,2.0,-111.5,24,1.0
35,-103.5,8,1.0,-145.5,92,2.0,-100.0,1,2.0,-153.5,108,2.0
36,-107.5,16,2.0,-127.5,56,1.0,-105.5,12,2.0,-118.5,38,1.0
37,-109.5,20,2.0,-109.5,20,2.0,-132.5,66,2.0,-158.0,117,2.0
38,-139.5,80,2.0,-111.0,23,1.0,-111.0,23,2.0,-103.5,8,2.0
39,4973.0,55,0.0,-114.0,29,2.0,-264.5,330,1.0,-218.5,238,2.0
40,-113.5,28,1.0,-100.0,1,1.0,-297.5,396,2.0,-104.5,10,2.0
41,-260.0,321,2.0,-105.0,11,1.0,-104.5,10,2.0,-235.0,271,2.0
42,-143.0,87,2.0,-102.0,5,1.0,-114.5,30,2.0,-121.5,44,1.0
43,-104.5,10,2.0,-134.5,70,2.0,-104.5,10,2.0,-121.0,43,2.0
44,-106.0,13,2.0,-133.5,68,1.0,-171.0,143,2.0,-109.0,19,1.0
