,reward_0.1,steps_0.1,end_0.1,reward_0.3,steps_0.3,end_0.3,reward_0.6,steps_0.6,end_0.6,reward_0.9,steps_0.9,end_0.9
0,-263.0,327,2.0,-118.0,37,1.0,-113.5,28,2.0,-145.0,91,2.0
1,-114.5,30,1.0,-121.0,43,2.0,-101.0,3,2.0,-191.0,183,1.0
2,-121.0,43,1.0,-186.5,174,1.0,4995.5,10,0.0,-101.5,4,1.0
3,-108.5,18,1.0,-105.5,12,1.0,-101.5,4,1.0,-195.0,191,2.0
4,-215.0,231,1.0,-128.0,57,1.0,-147.5,96,2.0,-100.0,1,1.0
5,-111.0,23,1.0,-110.0,21,1.0,-196.5,194,2.0,-116.5,34,2.0
6,-112.0,25,1.0,-105.0,11,2.0,-132.0,65,1.0,-181.0,163,1.0
7,-126.0,53,1.0,-208.0,217,2.0,-117.0,35,1.0,-148.5,98,2.0
8,-115.0,31,2.0,-175.0,151,1.0,4981.5,38,0.0,-154.0,109,1.0
9,-159.5,120,1.0,-104.0,9,2.0,-105.0,11,2.0,-102.0,5,2.0
10,-137.5,76,2.0,-226.5,254,1.0,-117.5,36,2.0,-113.5,28,2.0
11,4984.5,32,0.0,-127.5,56,1.0,-196.0,193,1.0,-128.5,58,2.0
12,4986.0,29,0.0,-103.0,7,2.0,-186.0,173,1.0,-111.0,23,2.0
13,-258.0,317,2.0,-100.0,1,1.0,-106.0,13,1.0,-104.5,10,1.0
14,-219.0,239,1.0,-163.0,127,1.0,-179.5,160,1.0,-120.5,42,2.0
15,-1000.0,2000,,-136.5,74,1.0,-101.0,3,1.0,-105.0,11,1.0
16,-278.5,358,1.0,-150.5,102,2.0,-115.0,31,2.0,-146.0,93,2.0
17,-684.0,1169,2.0,-105.0,11,1.0,-104.0,9,2.0,-102.0,5,2.0
18,-118.0,37,1.0,-107.0,15,2.0,-134.0,69,2.0,-234.0,269,1.0
19,-109.0,19,1.0,5000.0,1,0.0,-125.5,52,2.0,-214.0,229,2.0
20,-214.5,230,2.0,-348.5,498,2.0,-253.0,307,2.0,-199.0,199,1.0
21,-104.0,9,2.0,-159.5,120,2.0,-331.5,464,2.0,-111.5,24,1.0
22,-297.0,395,1.0,-392.0,585,1.0,-102.0,5,1.0,-147.5,96,2.0
23,4905.0,191,0.0,-247.0,295,2.0,-133.0,67,1.0,-119.5,40,1.0
24,-844.5,1490,1.0,-163.5,128,2.0,-158.0,117,2.0,-105.5,12,2.0
25,-755.5,1312,2.0,-105.5,12,1.0,-115.0,31,1.0,-122.0,45,2.0
26,-624.0,1049,2.0,-105.0,11,2.0,-114.5,30,2.0,-129.5,60,2.0
27,-206.5,214,1.0,-256.0,313,1.0,-115.0,31,2.0,-114.0,29,1.0
28,-510.5,822,1.0,-131.5,64,1.0,-353.0,507,1.0,-122.5,46,1.0
29,-102.5,6,2.0,-221.5,244,1.0,-208.0,217,1.0,-162.0,125,2.0
30,-348.5,498,1.0,-103.5,8,2.0,-109.0,19,2.0,-307.5,416,1.0
31,-183.5,168,1.0,-239.5,280,2.0,-104.5,10,1.0,-109.0,19,1.0
32,-1000.0,2000,,-106.0,13,1.0,-107.5,16,2.0,-319.0,439,2.0
33,-692.5,1186,1.0,-182.5,166,1.0,5000.0,1,0.0,-108.5,18,2.0
34,-1000.0,2000,,5000.0,1,0.0,-112.0,25,2.0,-102.0,5,1.0
35,-301.0,403,2.0,-348.0,497,1.0,-110.5,22,1.0,-105.5,12,2.0
36,4956.0,89,0.0,-170.5,142,1.0,-128.0,57,2.0,-110.0,21,1.0
37,-113.5,28,1.0,5000.0,1,0.0,-229.0,259,2.0,-108.5,18,1.0
38,-112.5,26,1.0,-145.0,91,2.0,-111.5,24,2.0,-113.5,28,2.0
39,-438.0,677,2.0,-155.0,111,2.0,-101.5,4,2.0,-113.0,27,2.0
40,-128.0,57,2.0,-226.5,254,1.0,-131.0,63,1.0,4998.0,5,0.0
41,-129.0,59,1.0,-112.5,26,1.0,-147.5,96,2.0,-100.5,2,1.0
42,5000.0,1,0.0,-174.5,150,2.0,-188.0,177,1.0,-105.5,12,2.0
43,-243.5,288,1.0,-191.5,184,1.0,-101.0,3,2.0,-174.0,149,1.0
44,4978.0,45,0.0,-223.0,247,2.0,4975.0,51,0.0,4995.5,10,0.0
45,-493.5,788,1.0,-150.0,101,2.0,-105.0,11,1.0,-158.0,117,1.0
46,-263.5,328,2.0,-353.0,507,1.0,-118.0,37,2.0,-101.5,4,2.0
47,-332.5,466,1.0,-368.0,537,2.0,-178.0,157,2.0,-140.5,82,2.0
48,-231.0,263,1.0,-372.0,545,2.0,-115.5,32,1.0,-105.5,12,1.0
49,-139.5,80,2.0,-139.0,79,1.0,-126.5,54,2.0,-144.5,90,1.0
50,-106.0,13,2.0,-348.5,498,1.0,-100.0,1,2.0,-167.5,136,2.0
51,-526.0,853,2.0,-395.0,591,1.0,-123.5,48,1.0,-129.5,60,1.0
52,-208.0,217,1.0,-187.0,175,2.0,-367.0,535,2.0,-102.0,5,1.0
53,-109.5,20,1.0,-103.5,8,2.0,-108.5,18,1.0,-218.5,238,2.0
54,-412.0,625,2.0,-228.0,257,1.0,-130.0,61,2.0,-179.5,160,1.0
55,4909.0,183,0.0,-137.0,75,1.0,-105.5,12,1.0,-109.0,19,1.0
56,-124.0,49,1.0,-109.0,19,1.0,-113.0,27,2.0,-106.5,14,1.0
57,4337.5,1326,0.0,-216.0,233,2.0,-115.0,31,2.0,5000.0,1,0.0
58,-1000.0,2000,,-485.0,771,2.0,-102.0,5,2.0,-128.5,58,2.0
59,-917.5,1636,1.0,-114.0,29,2.0,-107.5,16,1.0,-150.0,101,2.0
60,-205.5,212,1.0,-103.0,7,1.0,-135.5,72,1.0,-199.5,200,1.0
61,-100.0,1,2.0,-211.5,224,2.0,-107.5,16,2.0,-103.0,7,1.0
62,4763.0,475,0.0,-184.0,169,2.0,-164.0,129,1.0,-279.5,360,2.0
63,-130.0,61,2.0,-127.5,56,2.0,4962.5,76,0.0,-172.0,145,2.0
64,4190.5,1620,0.0,-139.0,79,1.0,-133.5,68,2.0,-100.5,2,1.0
65,-309.5,420,1.0,-105.0,11,1.0,-192.5,186,1.0,-147.0,95,2.0
66,4787.5,426,0.0,-102.0,5,1.0,-233.5,268,2.0,-176.0,153,1.0
67,4453.0,1095,0.0,-209.0,219,2.0,4843.5,314,0.0,-151.0,103,2.0
68,4864.0,273,0.0,-161.0,123,1.0,-103.0,7,2.0,-113.5,28,1.0
69,-124.5,50,2.0,-114.5,30,2.0,-117.0,35,2.0,-102.5,6,1.0
70,-340.0,481,1.0,-131.0,63,1.0,-158.0,117,2.0,-116.0,33,1.0
71,-240.5,282,2.0,-334.0,469,1.0,-107.5,16,1.0,-209.5,220,2.0
72,-216.0,233,2.0,-109.0,19,2.0,4998.5,4,0.0,-100.0,1,1.0
73,-132.5,66,2.0,4965.0,71,0.0,-103.5,8,2.0,-107.5,16,2.0
74,4458.0,1085,0.0,-327.5,456,2.0,-209.5,220,1.0,-161.5,124,2.0
75,4970.5,60,0.0,-110.5,22,1.0,-113.5,28,2.0,-124.0,49,1.0
76,-296.5,394,1.0,-194.0,189,1.0,4999.0,3,0.0,-100.5,2,2.0
77,-239.0,279,2.0,-269.5,340,2.0,-112.5,26,1.0,-105.0,11,2.0
78,-108.5,18,2.0,-107.0,15,2.0,-154.5,110,1.0,-103.0,7,2.0
79,-148.0,97,1.0,-103.0,7,2.0,-105.0,11,2.0,-125.5,52,2.0
80,4984.0,33,0.0,-106.0,13,1.0,-111.5,24,1.0,-166.5,134,2.0
81,4895.0,211,0.0,-122.0,45,1.0,-107.5,16,1.0,-129.0,59,2.0
82,-290.5,382,2.0,-105.5,12,1.0,-342.5,486,2.0,-110.5,22,2.0
83,4673.5,654,0.0,-103.0,7,2.0,-101.5,4,2.0,-139.0,79,2.0
84,-191.0,183,2.0,-159.0,119,2.0,-106.0,13,2.0,-133.0,67,1.0
85,-190.0,181,2.0,-102.0,5,1.0,-126.0,53,1.0,-154.5,110,2.0
86,-304.0,409,1.0,-109.5,20,2.0,-129.5,60,2.0,-105.5,12,2.0
87,-307.0,415,1.0,4992.5,16,0.0,-281.0,363,1.0,-110.5,22,1.0
88,-217.0,235,1.0,-263.5,328,2.0,-175.5,152,2.0,-105.0,11,2.0
89,4913.5,174,0.0,-236.5,274,2.0,-105.0,11,1.0,-151.5,104,2.0
90,-343.5,488,2.0,-206.0,213,1.0,-107.0,15,2.0,-103.5,8,2.0
91,-310.0,421,1.0,-236.0,273,2.0,4981.0,39,0.0,-100.0,1,1.0
92,-191.0,183,2.0,-108.5,18,2.0,-131.5,64,2.0,-101.0,3,1.0
93,-190.0,181,1.0,-106.5,14,2.0,-168.5,138,2.0,-164.5,130,1.0
94,-136.0,73,2.0,-149.0,99,1.0,-102.5,6,1.0,-114.5,30,2.0
95,-193.0,187,2.0,-103.5,8,1.0,-132.5,66,2.0,-297.0,395,1.0
96,-547.0,895,1.0,4937.5,126,0.0,-107.5,16,2.0,-246.5,294,1.0
97,4945.5,110,0.0,-133.5,68,1.0,-111.0,23,1.0,-104.5,10,1.0
98,-298.5,398,1.0,-202.5,206,1.0,-130.5,62,2.0,-104.0,9,2.0
99,-217.5,236,1.0,4974.5,52,0.0,-289.0,379,1.0,-101.0,3,2.0
100,-104.0,9,1.0,-144.0,89,2.0,-126.5,54,2.0,-129.5,60,2.0
101,-1000.0,2000,,-118.0,37,1.0,-103.0,7,1.0,-105.0,11,1.0
102,-100.0,1,2.0,-156.0,113,2.0,-174.0,149,1.0,-155.5,112,1.0
103,4781.5,438,0.0,-181.0,163,2.0,4958.5,84,0.0,-100.5,2,2.0
104,5000.0,1,0.0,-105.0,11,2.0,-142.0,85,2.0,-103.0,7,2.0
105,4100.0,1801,0.0,-192.5,186,2.0,-106.5,14,1.0,-100.0,1,1.0
106,-125.0,51,2.0,-444.5,690,2.0,-183.5,168,1.0,-106.0,13,2.0
107,-143.5,88,2.0,-229.0,259,2.0,-126.0,53,2.0,-102.5,6,2.0
108,-193.5,188,1.0,-183.0,167,2.0,-104.0,9,1.0,-149.5,100,1.0
109,-261.5,324,1.0,-184.0,169,1.0,-100.0,1,1.0,-127.5,56,2.0
110,4931.5,138,0.0,-124.0,49,2.0,-105.0,11,2.0,-130.5,62,2.0
111,-289.0,379,1.0,-207.0,215,1.0,-101.0,3,1.0,-152.5,106,2.0
112,4937.5,126,0.0,4960.0,81,0.0,-111.0,23,2.0,-144.5,90,2.0
113,4505.0,991,0.0,-183.5,168,1.0,-233.5,268,1.0,-100.0,1,1.0
114,-233.5,268,2.0,-101.0,3,2.0,-110.5,22,2.0,-191.5,184,2.0
115,4865.5,270,0.0,-151.0,103,2.0,-180.0,161,1.0,-100.0,1,2.0
116,-1000.0,2000,,-227.5,256,2.0,-177.5,156,1.0,-110.5,22,1.0
117,-1000.0,2000,,-117.0,35,2.0,-103.0,7,2.0,4999.5,2,0.0
118,-179.0,159,2.0,-101.5,4,1.0,-152.5,106,1.0,-102.0,5,1.0
119,-194.0,189,1.0,-133.0,67,2.0,4966.5,68,0.0,-162.0,125,1.0
120,-113.0,27,1.0,-267.5,336,2.0,-122.5,46,2.0,-147.5,96,2.0
121,-1000.0,2000,,-173.0,147,1.0,-100.0,1,2.0,-100.0,1,1.0
122,-135.5,72,1.0,5000.0,1,0.0,4948.5,104,0.0,-210.0,221,2.0
123,-360.5,522,2.0,-136.0,73,2.0,-125.0,51,1.0,-158.5,118,2.0
124,-1000.0,2000,,-307.0,415,2.0,-112.5,26,2.0,-129.5,60,1.0
125,-148.5,98,2.0,-166.5,134,1.0,-101.0,3,2.0,-106.5,14,1.0
126,4993.0,15,0.0,-100.0,1,1.0,-122.0,45,1.0,-131.0,63,1.0
127,-252.0,305,2.0,-248.5,298,1.0,4985.5,30,0.0,-122.5,46,2.0
128,4937.0,127,0.0,-196.5,194,2.0,-152.5,106,2.0,-236.0,273,2.0
129,4998.0,5,0.0,-100.0,1,2.0,-127.5,56,1.0,-109.0,19,2.0
130,-149.0,99,1.0,-110.5,22,2.0,-148.5,98,1.0,-111.0,23,2.0
131,-114.5,30,1.0,-271.0,343,1.0,-100.5,2,2.0,-113.0,27,2.0
132,-975.5,1752,1.0,-111.0,23,2.0,-124.0,49,2.0,-135.5,72,2.0
133,-113.0,27,2.0,4829.5,342,0.0,-122.0,45,2.0,-134.5,70,2.0
134,-197.0,195,2.0,-216.5,234,2.0,-111.5,24,1.0,-103.5,8,2.0
135,-206.0,213,1.0,-651.5,1104,2.0,-142.0,85,1.0,-109.0,19,1.0
136,-103.0,7,2.0,-106.5,14,1.0,-171.5,144,1.0,-134.0,69,2.0
137,-132.0,65,1.0,4903.5,194,0.0,-123.0,47,2.0,-192.0,185,2.0
138,-128.5,58,2.0,-325.5,452,2.0,-171.0,143,2.0,-160.5,122,2.0
139,4964.5,72,0.0,-123.5,48,2.0,-107.0,15,2.0,-113.5,28,2.0
140,-169.0,139,1.0,-146.0,93,2.0,-113.5,28,1.0,-119.0,39,1.0
141,4957.0,87,0.0,5000.0,1,0.0,-101.0,3,1.0,-114.0,29,2.0
142,-105.0,11,1.0,-270.0,341,2.0,-197.5,196,1.0,-120.0,41,2.0
143,-180.5,162,1.0,-127.0,55,1.0,4993.0,15,0.0,-138.5,78,1.0
144,-1000.0,2000,,-290.0,381,1.0,-144.5,90,2.0,-134.0,69,2.0
145,-105.0,11,2.0,-594.0,989,2.0,-102.5,6,1.0,-100.5,2,1.0
146,-115.0,31,1.0,-118.5,38,2.0,-104.0,9,2.0,-212.0,225,1.0
147,4860.0,281,0.0,-100.5,2,1.0,-128.0,57,1.0,-122.5,46,2.0
148,-498.0,797,1.0,-114.0,29,1.0,-144.0,89,2.0,-128.0,57,2.0
149,-125.5,52,2.0,4980.0,41,0.0,-105.0,11,2.0,4785.5,430,0.0
150,-178.5,158,2.0,-120.5,42,1.0,-208.0,217,1.0,-130.0,61,2.0
151,-331.5,464,2.0,-103.0,7,1.0,-114.0,29,2.0,-418.5,638,2.0
152,4990.0,21,0.0,-296.0,393,1.0,-117.5,36,2.0,-104.0,9,2.0
153,-138.5,78,2.0,4970.0,61,0.0,-115.5,32,2.0,-116.5,34,1.0
154,-311.0,423,1.0,-200.0,201,1.0,-141.5,84,1.0,-111.0,23,2.0
155,-101.5,4,2.0,-204.0,209,2.0,-111.5,24,2.0,-102.0,5,1.0
156,4999.0,3,0.0,-121.0,43,2.0,4995.0,11,0.0,-106.0,13,2.0
157,-1000.0,2000,,-100.5,2,2.0,-117.5,36,2.0,-130.0,61,2.0
158,-109.0,19,1.0,-131.0,63,2.0,4964.0,73,0.0,-134.0,69,2.0
159,-131.0,63,2.0,-115.5,32,2.0,-131.5,64,1.0,-125.5,52,1.0
160,-159.0,119,1.0,-174.5,150,1.0,-122.0,45,1.0,-100.5,2,1.0
161,-108.5,18,1.0,-196.0,193,2.0,-100.0,1,2.0,-113.0,27,1.0
162,4936.0,129,0.0,5000.0,1,0.0,-179.5,160,1.0,-221.0,243,2.0
163,5000.0,1,0.0,-337.5,476,2.0,-103.0,7,1.0,-124.0,49,2.0
164,-109.5,20,2.0,-150.0,101,1.0,-136.0,73,2.0,-184.5,170,1.0
165,-140.5,82,2.0,-136.0,73,2.0,-305.0,411,2.0,-119.5,40,2.0
166,-831.5,1464,1.0,-327.5,456,2.0,-125.0,51,2.0,-100.0,1,1.0
167,-158.5,118,2.0,-101.5,4,2.0,-113.5,28,1.0,-173.5,148,1.0
168,-1000.0,2000,,-101.0,3,1.0,-106.0,13,2.0,-307.5,416,2.0
169,-105.0,11,1.0,-136.0,73,2.0,-263.5,328,2.0,-127.0,55,2.0
170,-103.0,7,2.0,-159.0,119,2.0,-110.0,21,2.0,-109.5,20,2.0
171,-118.5,38,2.0,-317.5,436,2.0,-244.5,290,1.0,-107.5,16,1.0
172,-165.5,132,2.0,-241.5,284,1.0,-114.0,29,2.0,-100.5,2,1.0
173,-1000.0,2000,,4947.0,107,0.0,4978.5,44,0.0,-135.0,71,2.0
174,-208.5,218,1.0,-113.0,27,2.0,-181.5,164,2.0,-100.0,1,1.0
175,-147.0,95,2.0,-118.5,38,2.0,-142.5,86,2.0,-104.0,9,2.0
176,-1000.0,2000,,4819.5,362,0.0,-114.5,30,2.0,-106.5,14,1.0
177,-232.5,266,1.0,-223.0,247,1.0,-145.0,91,2.0,-248.5,298,1.0
178,-1000.0,2000,,-133.5,68,2.0,-323.5,448,2.0,-125.0,51,1.0
179,-218.0,237,2.0,-110.5,22,2.0,-191.0,183,1.0,-103.0,7,1.0
180,-200.5,202,1.0,4938.0,125,0.0,4980.5,40,0.0,-106.0,13,2.0
181,-110.0,21,2.0,4990.0,21,0.0,-136.0,73,1.0,-101.0,3,2.0
182,-1000.0,2000,,-258.5,318,1.0,-105.5,12,2.0,-250.5,302,1.0
183,-129.0,59,2.0,-101.5,4,1.0,4801.0,399,0.0,-167.5,136,2.0
184,-105.5,12,2.0,-109.0,19,1.0,4968.0,65,0.0,-238.0,277,1.0
185,4746.5,508,0.0,-101.0,3,1.0,-174.5,150,1.0,-114.5,30,2.0
186,-283.5,368,1.0,4861.0,279,0.0,-194.0,189,1.0,-104.5,10,2.0
187,-289.0,379,1.0,-113.0,27,2.0,-104.0,9,1.0,-116.5,34,1.0
188,4741.0,519,0.0,-168.0,137,2.0,-102.0,5,1.0,-117.0,35,1.0
189,-1000.0,2000,,-228.0,257,2.0,-100.5,2,2.0,-140.0,81,1.0
190,-156.0,113,1.0,-206.0,213,2.0,-312.5,426,1.0,-102.0,5,1.0
191,-288.0,377,2.0,-120.5,42,2.0,-126.0,53,2.0,-127.5,56,1.0
192,-223.5,248,2.0,-136.0,73,1.0,-183.0,167,1.0,-107.0,15,1.0
