,reward_0.001,steps_0.001,end_0.001,reward_0.005,steps_0.005,end_0.005,reward_0.01,steps_0.01,end_0.01,reward_0.1,steps_0.1,end_0.1
0,-128.5,58,1.0,-101.5,4,1.0,-194.0,189,1.0,-131.5,64,1.0
1,-112.5,26,2.0,-112.5,26,1.0,-131.5,64,1.0,-151.5,104,1.0
2,-112.5,26,1.0,-105.0,11,1.0,-108.5,18,2.0,-130.5,62,1.0
3,-100.0,1,2.0,-104.0,9,2.0,-119.5,40,1.0,-133.5,68,1.0
4,-118.0,37,2.0,-120.5,42,1.0,-123.5,48,2.0,-107.5,16,1.0
5,5000.0,1,0.0,-108.5,18,1.0,-130.0,61,2.0,-223.5,248,2.0
6,-124.5,50,2.0,-136.5,74,1.0,-117.0,35,1.0,-105.0,11,2.0
7,-156.5,114,2.0,-114.0,29,1.0,-119.5,40,2.0,4978.0,45,0.0
8,-108.0,17,1.0,-201.0,203,1.0,-139.0,79,1.0,-123.5,48,2.0
9,-124.0,49,1.0,-201.5,204,1.0,-105.5,12,1.0,-100.5,2,2.0
10,4993.0,15,0.0,-119.5,40,2.0,-124.5,50,2.0,-103.0,7,1.0
11,-114.5,30,2.0,-101.0,3,1.0,-141.0,83,1.0,5000.0,1,0.0
12,-110.0,21,1.0,-202.0,205,1.0,-102.5,6,2.0,-120.0,41,1.0
13,-110.5,22,2.0,-153.5,108,1.0,-106.0,13,1.0,-108.5,18,1.0
14,-112.0,25,1.0,-183.0,167,1.0,-119.0,39,2.0,-102.0,5,2.0
15,-108.5,18,2.0,-167.0,135,2.0,-214.0,229,1.0,-280.5,362,1.0
16,4866.0,269,0.0,-160.0,121,2.0,-153.5,108,1.0,-104.0,9,2.0
17,-107.0,15,2.0,-130.0,61,1.0,-128.5,58,1.0,-105.5,12,2.0
18,-242.5,286,1.0,-146.5,94,1.0,-118.0,37,2.0,-122.5,46,2.0
19,-131.5,64,2.0,-174.0,149,2.0,-146.5,94,1.0,-124.5,50,1.0
20,-373.0,547,1.0,-100.5,2,2.0,-152.0,105,2.0,-102.0,5,2.0
21,-196.0,193,1.0,-104.5,10,2.0,-148.0,97,1.0,-103.0,7,1.0
22,4980.5,40,0.0,-214.0,229,2.0,-104.5,10,2.0,-116.0,33,1.0
23,-109.5,20,2.0,-110.0,21,1.0,4980.0,41,0.0,-176.0,153,1.0
24,-107.0,15,1.0,-310.0,421,2.0,-101.0,3,2.0,-194.0,189,2.0
25,-101.0,3,2.0,-100.0,1,2.0,-242.0,285,2.0,-113.0,27,1.0
26,-101.5,4,2.0,-102.5,6,1.0,-183.0,167,2.0,4960.0,81,0.0
27,-104.5,10,2.0,-149.5,100,1.0,-102.0,5,2.0,-156.5,114,1.0
28,-125.0,51,1.0,-528.5,858,1.0,-124.5,50,2.0,-107.5,16,2.0
29,-267.0,335,1.0,-106.0,13,1.0,-111.0,23,2.0,-105.0,11,1.0
30,-101.5,4,1.0,-106.0,13,1.0,-115.0,31,2.0,-162.5,126,2.0
31,-123.0,47,1.0,-101.0,3,2.0,-145.5,92,2.0,-112.5,26,1.0
32,-136.0,73,2.0,-107.0,15,1.0,-108.0,17,1.0,-483.5,768,1.0
33,-115.0,31,1.0,-244.5,290,2.0,-179.5,160,2.0,-114.5,30,1.0
34,-141.0,83,2.0,4914.5,172,0.0,-145.5,92,2.0,-139.0,79,2.0
35,-101.5,4,2.0,-110.0,21,2.0,-100.0,1,1.0,-140.0,81,2.0
36,-112.0,25,2.0,-125.0,51,2.0,-145.0,91,2.0,-164.0,129,1.0
37,-136.0,73,2.0,-127.5,56,2.0,-102.0,5,1.0,-101.5,4,2.0
38,-120.5,42,1.0,-502.5,806,2.0,-103.5,8,2.0,-243.0,287,2.0
39,-108.5,18,1.0,-124.0,49,2.0,-100.5,2,1.0,-102.0,5,2.0
40,-212.5,226,2.0,-216.5,234,1.0,-100.0,1,2.0,-101.0,3,2.0
41,-124.5,50,1.0,-220.0,241,2.0,-105.5,12,2.0,-104.5,10,1.0
42,-117.5,36,1.0,-366.5,534,2.0,-121.5,44,2.0,-256.0,313,1.0
43,-146.5,94,1.0,-199.5,200,2.0,-185.5,172,1.0,-137.0,75,2.0
44,-112.5,26,1.0,-132.5,66,2.0,-104.0,9,2.0,-189.5,180,2.0
45,-251.0,303,2.0,-118.5,38,2.0,-177.0,155,2.0,-207.0,215,1.0
46,-123.0,47,1.0,-189.5,180,2.0,4933.0,135,0.0,-122.0,45,1.0
47,-142.5,86,2.0,-120.0,41,1.0,-100.0,1,1.0,-136.0,73,1.0
48,-145.0,91,2.0,4995.5,10,0.0,-139.5,80,2.0,-109.5,20,1.0
49,4983.5,34,0.0,4976.0,49,0.0,-128.0,57,1.0,-101.5,4,1.0
50,-132.5,66,1.0,-117.0,35,2.0,-108.5,18,1.0,-134.5,70,1.0
51,-129.0,59,1.0,-110.0,21,2.0,-198.5,198,2.0,-121.5,44,1.0
52,-100.5,2,1.0,-141.0,83,2.0,-171.5,144,2.0,-225.5,252,2.0
53,-106.5,14,2.0,-194.5,190,2.0,-109.5,20,1.0,-112.0,25,1.0
54,-230.0,261,1.0,-144.5,90,1.0,-140.0,81,2.0,-100.0,1,2.0
55,-136.5,74,1.0,-110.0,21,1.0,-130.0,61,1.0,-102.5,6,1.0
56,-117.0,35,2.0,-137.0,75,2.0,-153.5,108,1.0,-358.0,517,2.0
57,-206.5,214,1.0,-111.0,23,1.0,-101.0,3,2.0,4972.0,57,0.0
58,-110.5,22,1.0,-164.0,129,2.0,-124.0,49,1.0,-432.0,665,1.0
59,-275.0,351,2.0,-178.5,158,2.0,-415.5,632,2.0,5000.0,1,0.0
60,-121.5,44,2.0,-233.0,267,1.0,-133.0,67,2.0,-106.5,14,2.0
61,-127.0,55,1.0,-101.0,3,2.0,-103.0,7,2.0,-120.0,41,1.0
62,-149.5,100,1.0,-180.0,161,1.0,-107.0,15,1.0,-110.5,22,2.0
63,-207.0,215,2.0,-133.0,67,2.0,-151.5,104,2.0,-103.5,8,2.0
64,-101.0,3,2.0,-390.5,582,2.0,-340.0,481,1.0,-128.5,58,2.0
65,-124.5,50,2.0,-116.0,33,1.0,-115.5,32,2.0,-105.5,12,2.0
66,-129.0,59,2.0,-110.5,22,1.0,-171.5,144,2.0,-140.0,81,1.0
67,-393.5,588,1.0,-269.0,339,1.0,-196.5,194,2.0,-108.0,17,2.0
68,-130.0,61,1.0,-109.5,20,1.0,-121.5,44,1.0,-123.5,48,1.0
69,-181.0,163,2.0,-107.5,16,2.0,4988.5,24,0.0,4991.5,18,0.0
70,-105.5,12,2.0,-123.0,47,1.0,-103.5,8,1.0,-111.5,24,2.0
71,-393.0,587,2.0,-172.0,145,2.0,-199.0,199,1.0,-125.0,51,1.0
72,-181.0,163,2.0,-111.5,24,2.0,-115.5,32,1.0,-209.5,220,1.0
73,-170.0,141,1.0,-135.0,71,2.0,-120.0,41,2.0,-133.5,68,1.0
74,-124.0,49,2.0,-131.5,64,1.0,-129.5,60,1.0,-105.0,11,1.0
75,-129.0,59,2.0,-161.5,124,2.0,-102.0,5,1.0,-101.5,4,1.0
76,-100.0,1,2.0,-106.5,14,1.0,-174.0,149,2.0,-488.0,777,2.0
77,-108.5,18,2.0,-102.5,6,1.0,4957.5,86,0.0,-163.5,128,2.0
78,-100.0,1,2.0,-166.0,133,1.0,-114.5,30,1.0,-135.0,71,1.0
79,-171.0,143,1.0,-133.5,68,1.0,-105.0,11,2.0,-159.5,120,1.0
80,-224.5,250,2.0,-187.0,175,1.0,-142.5,86,2.0,-114.0,29,2.0
81,-101.5,4,1.0,4998.5,4,0.0,-148.0,97,2.0,-114.0,29,2.0
82,-110.0,21,1.0,-220.5,242,1.0,-102.5,6,2.0,-137.5,76,2.0
83,-126.5,54,2.0,-100.0,1,2.0,-290.0,381,1.0,4946.0,109,0.0
84,-123.5,48,2.0,-113.5,28,2.0,-219.0,239,2.0,-209.0,219,1.0
85,-102.5,6,1.0,-104.5,10,1.0,-160.0,121,1.0,4999.0,3,0.0
86,-112.5,26,1.0,-116.5,34,1.0,-105.5,12,1.0,-100.5,2,2.0
87,-144.5,90,2.0,-116.5,34,2.0,-177.5,156,2.0,-101.0,3,1.0
88,4998.0,5,0.0,-207.5,216,1.0,-100.5,2,1.0,-101.0,3,2.0
89,-144.0,89,1.0,-264.0,329,2.0,-142.5,86,2.0,-107.5,16,2.0
90,-148.0,97,2.0,4959.0,83,0.0,-120.5,42,1.0,-110.0,21,2.0
91,-100.5,2,2.0,4903.5,194,0.0,-147.0,95,1.0,-101.5,4,2.0
92,-178.5,158,2.0,-108.0,17,2.0,-101.0,3,1.0,-168.0,137,1.0
93,-109.0,19,2.0,-111.0,23,1.0,-110.5,22,2.0,-117.5,36,2.0
94,-103.0,7,1.0,-160.5,122,2.0,-143.5,88,1.0,-149.0,99,2.0
95,-156.0,113,2.0,-198.5,198,2.0,-145.0,91,1.0,-253.5,308,2.0
96,-156.0,113,2.0,-126.5,54,1.0,-102.0,5,2.0,-124.0,49,1.0
97,-204.5,210,2.0,-165.5,132,1.0,-141.0,83,1.0,-165.0,131,2.0
98,-166.5,134,1.0,-103.0,7,1.0,-103.5,8,2.0,-104.5,10,1.0
99,-108.0,17,1.0,-100.0,1,2.0,-155.0,111,2.0,-102.0,5,2.0
100,-173.5,148,2.0,-322.5,446,2.0,-150.5,102,1.0,-103.0,7,1.0
101,-105.0,11,2.0,-101.0,3,1.0,-112.0,25,1.0,-121.5,44,2.0
102,-217.0,235,1.0,-142.5,86,2.0,-103.0,7,1.0,-104.0,9,2.0
103,-106.0,13,2.0,4998.5,4,0.0,4998.0,5,0.0,-142.0,85,2.0
104,-234.5,270,2.0,-112.0,25,1.0,-252.5,306,2.0,-107.5,16,2.0
105,-155.0,111,2.0,-293.5,388,1.0,-104.5,10,1.0,-198.5,198,1.0
106,-160.5,122,1.0,-176.0,153,1.0,-643.5,1088,1.0,-101.5,4,1.0
107,-143.0,87,2.0,-102.5,6,2.0,-115.0,31,1.0,-110.5,22,2.0
108,-136.0,73,2.0,-115.0,31,1.0,-139.0,79,2.0,-100.5,2,2.0
109,-102.5,6,1.0,-169.0,139,1.0,-213.0,227,1.0,-136.0,73,2.0
110,-187.5,176,2.0,-100.0,1,1.0,-199.0,199,1.0,-110.0,21,2.0
111,-299.0,399,2.0,-103.5,8,2.0,-116.0,33,2.0,-112.5,26,2.0
112,4995.0,11,0.0,-123.5,48,1.0,-164.5,130,1.0,-137.0,75,2.0
113,-103.5,8,1.0,-149.5,100,2.0,-113.0,27,1.0,-123.5,48,1.0
114,4982.5,36,0.0,-138.5,78,1.0,-102.5,6,2.0,-111.0,23,1.0
115,5000.0,1,0.0,4969.5,62,0.0,-117.0,35,1.0,-217.0,235,2.0
116,4998.5,4,0.0,4971.5,58,0.0,4769.0,463,0.0,-108.0,17,2.0
117,-163.0,127,2.0,-124.5,50,1.0,-364.0,529,2.0,-108.5,18,1.0
118,-200.5,202,2.0,-284.5,370,1.0,-151.0,103,2.0,-118.0,37,1.0
119,4997.0,7,0.0,-103.5,8,2.0,-100.0,1,1.0,-235.5,272,1.0
120,-117.5,36,2.0,-101.0,3,2.0,4470.5,1060,0.0,-109.0,19,1.0
121,4999.5,2,0.0,-165.0,131,2.0,-100.0,1,2.0,-140.5,82,2.0
122,-139.0,79,2.0,-142.5,86,1.0,-226.0,253,2.0,-101.0,3,1.0
123,-117.0,35,1.0,-102.0,5,1.0,4986.0,29,0.0,-101.0,3,1.0
124,-159.0,119,2.0,-322.0,445,2.0,-151.5,104,2.0,-143.0,87,1.0
125,-100.5,2,1.0,-108.0,17,2.0,-277.0,355,2.0,-196.5,194,1.0
126,-119.0,39,2.0,-122.5,46,2.0,-114.5,30,2.0,4998.5,4,0.0
127,-116.5,34,2.0,-104.5,10,1.0,-103.5,8,2.0,-135.0,71,1.0
128,-119.5,40,2.0,-104.0,9,2.0,-129.0,59,2.0,-101.0,3,2.0
129,-209.5,220,1.0,-105.5,12,1.0,-127.0,55,1.0,-106.0,13,2.0
130,-142.0,85,1.0,-212.5,226,1.0,-128.0,57,2.0,4999.5,2,0.0
131,-148.0,97,2.0,-162.5,126,2.0,-101.0,3,1.0,4989.0,23,0.0
132,-280.0,361,2.0,-171.0,143,1.0,-197.0,195,1.0,-130.5,62,1.0
133,-116.5,34,1.0,-126.0,53,1.0,-106.5,14,1.0,-147.0,95,1.0
134,-104.0,9,1.0,-100.0,1,1.0,-217.5,236,2.0,-101.0,3,2.0
135,-105.0,11,2.0,-152.0,105,1.0,-377.0,555,2.0,-129.0,59,2.0
136,-125.0,51,2.0,-121.5,44,2.0,-266.5,334,2.0,-149.0,99,1.0
137,-147.0,95,1.0,4988.5,24,0.0,-106.0,13,2.0,-109.5,20,2.0
138,4940.5,120,0.0,-119.5,40,1.0,-109.5,20,1.0,-115.0,31,2.0
139,-191.5,184,1.0,4961.5,78,0.0,-107.5,16,1.0,-239.0,279,1.0
140,-100.5,2,1.0,-151.0,103,2.0,-227.5,256,1.0,-114.5,30,2.0
141,-119.5,40,2.0,-115.5,32,2.0,-104.5,10,1.0,4980.5,40,0.0
142,-121.0,43,2.0,-298.5,398,2.0,-181.5,164,1.0,-118.5,38,2.0
143,-114.5,30,1.0,-171.5,144,1.0,-133.5,68,2.0,-150.5,102,1.0
144,-326.5,454,2.0,-100.5,2,2.0,4971.0,59,0.0,-175.0,151,1.0
145,-114.0,29,2.0,-118.5,38,2.0,-144.0,89,2.0,-146.0,93,1.0
146,-150.5,102,2.0,-125.0,51,2.0,-107.0,15,1.0,-100.0,1,2.0
147,-106.0,13,1.0,-101.5,4,2.0,4970.0,61,0.0,-137.0,75,2.0
148,-102.0,5,2.0,-139.5,80,1.0,-159.5,120,2.0,4847.0,307,0.0
149,-105.5,12,1.0,-242.0,285,2.0,-135.5,72,1.0,-286.5,374,2.0
150,-131.0,63,1.0,-117.0,35,2.0,-116.0,33,2.0,-340.5,482,1.0
151,-101.5,4,1.0,-121.0,43,1.0,-231.0,263,2.0,-112.5,26,1.0
152,-110.5,22,1.0,-106.0,13,2.0,-143.5,88,2.0,-124.5,50,1.0
153,-264.5,330,2.0,-114.0,29,2.0,4986.0,29,0.0,-108.5,18,2.0
154,-170.5,142,1.0,-125.0,51,2.0,-127.5,56,2.0,-106.0,13,1.0
155,-119.0,39,2.0,-137.5,76,2.0,5000.0,1,0.0,-100.0,1,1.0
156,-105.0,11,2.0,-124.0,49,2.0,-133.5,68,1.0,-254.5,310,2.0
157,4988.5,24,0.0,-138.5,78,2.0,-1000.0,2000,,-519.5,840,2.0
158,-198.0,197,1.0,-108.5,18,2.0,-830.0,1461,1.0,-124.0,49,1.0
159,-182.5,166,2.0,-106.5,14,1.0,-128.0,57,2.0,-117.0,35,2.0
160,-117.5,36,2.0,-107.0,15,1.0,-113.0,27,2.0,-225.5,252,1.0
161,-104.0,9,1.0,4924.5,152,0.0,4947.0,107,0.0,-370.0,541,2.0
162,-118.5,38,1.0,-136.0,73,2.0,-118.5,38,2.0,-136.0,73,1.0
163,-101.0,3,2.0,-106.5,14,1.0,-160.0,121,1.0,-100.5,2,1.0
164,-134.5,70,1.0,-104.5,10,1.0,-195.0,191,1.0,-107.5,16,1.0
165,-100.0,1,1.0,4987.0,27,0.0,-101.0,3,1.0,-107.5,16,1.0
166,-142.5,86,2.0,-133.5,68,1.0,-239.5,280,1.0,-179.0,159,1.0
167,-128.5,58,2.0,-284.0,369,2.0,4948.0,105,0.0,-145.5,92,2.0
168,-258.0,317,1.0,-116.0,33,1.0,-232.5,266,2.0,-268.5,338,1.0
169,-167.5,136,1.0,-350.0,501,1.0,-104.0,9,2.0,-139.0,79,1.0
170,-100.0,1,2.0,-105.5,12,1.0,-157.0,115,1.0,-131.0,63,2.0
