,reward_0.0001,steps_0.0001,end_0.0001,reward_0.0005,steps_0.0005,end_0.0005,reward_0.001,steps_0.001,end_0.001,reward_0.005,steps_0.005,end_0.005
0,-115.5,32,1.0,-130.5,62,2.0,-102.5,6,2.0,-212.5,226,1.0
1,-170.5,142,2.0,-119.0,39,2.0,-120.0,41,2.0,-252.0,305,1.0
2,-111.5,24,1.0,-175.5,152,2.0,4985.5,30,0.0,4998.5,4,0.0
3,-108.0,17,2.0,-157.5,116,1.0,-141.5,84,1.0,-226.5,254,1.0
4,-104.5,10,2.0,-148.0,97,2.0,-558.0,917,2.0,-141.0,83,2.0
5,-142.0,85,2.0,-117.0,35,1.0,-344.5,490,1.0,-140.5,82,1.0
6,-111.5,24,1.0,-116.0,33,2.0,-169.0,139,1.0,-112.5,26,2.0
7,-125.5,52,2.0,-107.5,16,2.0,-106.0,13,1.0,-100.0,1,1.0
8,-101.0,3,1.0,4949.0,103,0.0,-183.0,167,2.0,4999.5,2,0.0
9,-171.0,143,2.0,-226.0,253,2.0,-100.0,1,1.0,-105.5,12,2.0
10,-106.5,14,2.0,-108.5,18,2.0,-125.5,52,1.0,-120.0,41,2.0
11,-109.0,19,2.0,-108.0,17,2.0,-103.0,7,2.0,-319.0,439,1.0
12,-150.5,102,1.0,-188.0,177,1.0,-182.5,166,2.0,-120.0,41,1.0
13,4995.0,11,0.0,-213.5,228,2.0,-171.0,143,2.0,4858.5,284,0.0
14,-105.0,11,1.0,-284.0,369,2.0,-109.5,20,1.0,-305.0,411,2.0
15,-157.5,116,1.0,-135.5,72,2.0,4998.0,5,0.0,-130.5,62,2.0
16,-178.5,158,1.0,-140.5,82,2.0,-100.5,2,1.0,-162.0,125,1.0
17,-167.0,135,2.0,-147.0,95,1.0,-121.0,43,1.0,-134.0,69,2.0
18,-107.5,16,2.0,-105.5,12,2.0,-211.0,223,1.0,-148.0,97,2.0
19,-156.5,114,2.0,-110.0,21,1.0,4982.5,36,0.0,-126.5,54,2.0
20,-101.0,3,2.0,-138.0,77,1.0,-114.0,29,1.0,-214.5,230,1.0
21,-107.0,15,1.0,-106.5,14,1.0,-130.5,62,1.0,-101.5,4,2.0
22,-157.5,116,2.0,-149.0,99,2.0,-118.0,37,2.0,4958.0,85,0.0
23,-100.5,2,1.0,-101.5,4,2.0,-195.0,191,2.0,-178.0,157,2.0
24,-111.0,23,2.0,-103.0,7,1.0,-321.0,443,1.0,-314.5,430,1.0
25,-116.5,34,1.0,-100.5,2,2.0,-114.0,29,2.0,-134.0,69,1.0
26,4985.5,30,0.0,-138.5,78,2.0,-193.0,187,1.0,-112.5,26,2.0
27,-119.5,40,2.0,-116.5,34,1.0,-108.5,18,2.0,-119.5,40,1.0
28,-107.5,16,1.0,-167.0,135,1.0,-127.0,55,1.0,-115.0,31,1.0
29,-108.5,18,1.0,-100.5,2,2.0,-134.5,70,2.0,-223.0,247,1.0
30,-131.5,64,2.0,-119.0,39,2.0,-196.0,193,1.0,-168.5,138,2.0
31,-114.5,30,2.0,-125.0,51,2.0,5000.0,1,0.0,-108.0,17,2.0
32,-145.5,92,1.0,4865.5,270,0.0,-141.5,84,1.0,4955.5,90,0.0
33,-239.5,280,2.0,-232.5,266,1.0,-145.5,92,2.0,-108.0,17,2.0
34,-101.5,4,1.0,-116.5,34,2.0,-273.5,348,2.0,-106.0,13,1.0
