,reward_4,steps_4,end_4,reward_8,steps_8,end_8,reward_12,steps_12,end_12,reward_18,steps_18,end_18
0,-101.5,4,1.0,-102.0,5,2.0,-185.5,172,2.0,-104.5,10,2.0
1,-119.0,39,2.0,-166.0,133,1.0,-110.0,21,1.0,-119.5,40,1.0
2,-100.0,1,1.0,-101.0,3,1.0,-124.5,50,2.0,-101.5,4,1.0
3,-100.0,1,1.0,-168.5,138,1.0,-107.0,15,1.0,-116.5,34,2.0
4,-165.5,132,2.0,4965.5,70,0.0,-173.0,147,1.0,-153.0,107,2.0
5,-100.5,2,1.0,-109.0,19,2.0,-104.5,10,1.0,-126.5,54,2.0
6,-116.0,33,2.0,-104.5,10,1.0,-118.0,37,2.0,-120.0,41,1.0
7,-101.5,4,1.0,-105.0,11,2.0,-192.0,185,1.0,-100.0,1,1.0
8,5000.0,1,0.0,5000.0,1,0.0,-102.0,5,1.0,-107.5,16,1.0
9,-135.5,72,2.0,4944.0,113,0.0,-106.0,13,2.0,-445.0,691,1.0
10,-120.0,41,1.0,-118.0,37,2.0,-211.0,223,1.0,-109.0,19,1.0
11,-101.0,3,1.0,-147.5,96,2.0,-127.0,55,1.0,-103.5,8,2.0
12,-118.0,37,1.0,4996.5,8,0.0,-130.5,62,1.0,-128.5,58,2.0
13,-200.0,201,1.0,-191.5,184,1.0,-111.0,23,1.0,4993.0,15,0.0
14,-147.0,95,1.0,-114.0,29,2.0,-107.0,15,1.0,-208.0,217,1.0
15,4995.5,10,0.0,-262.5,326,2.0,-141.0,83,2.0,-111.0,23,2.0
16,-151.0,103,2.0,-141.5,84,2.0,-106.5,14,1.0,-114.5,30,1.0
17,-118.0,37,2.0,-102.5,6,1.0,-136.0,73,1.0,-316.0,433,1.0
18,-111.0,23,1.0,-203.0,207,1.0,-104.0,9,1.0,-112.5,26,2.0
19,-133.0,67,1.0,-103.5,8,1.0,4997.5,6,0.0,-141.0,83,1.0
20,-106.5,14,2.0,-128.0,57,1.0,-111.0,23,1.0,-152.0,105,2.0
21,-171.0,143,1.0,-217.0,235,2.0,4955.5,90,0.0,-329.0,459,1.0
22,-171.0,143,2.0,-427.5,656,2.0,4937.0,127,0.0,-101.5,4,1.0
23,-150.0,101,2.0,-143.5,88,2.0,-112.0,25,1.0,-173.5,148,2.0
24,-192.5,186,1.0,-128.5,58,2.0,-143.5,88,2.0,-333.0,467,2.0
25,-100.0,1,2.0,-197.0,195,2.0,-112.5,26,2.0,-111.0,23,1.0
26,-156.5,114,2.0,-172.0,145,1.0,-148.5,98,1.0,-186.0,173,1.0
27,-187.0,175,2.0,-168.5,138,1.0,-100.5,2,1.0,-154.5,110,1.0
28,-261.5,324,1.0,-189.0,179,1.0,-102.0,5,2.0,-126.0,53,2.0
29,-112.5,26,1.0,-109.5,20,2.0,4951.5,98,0.0,-101.5,4,2.0
30,-201.0,203,2.0,-114.5,30,2.0,-107.0,15,1.0,-104.5,10,1.0
31,-108.5,18,1.0,-101.5,4,2.0,-111.5,24,1.0,-103.0,7,1.0
32,-153.0,107,2.0,4970.5,60,0.0,-134.5,70,2.0,-102.5,6,2.0
33,-124.5,50,2.0,-102.0,5,1.0,4996.5,8,0.0,-106.0,13,2.0
